what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1302280097162
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1302280097162
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1302280097162
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1302280097162
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1302280097172
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1302280097172
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1302280097172
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1302280097172
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1302280097172
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1302280097182
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1302280097182
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1302280097182
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1302280097182
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1302280097182
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1302280097182
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1302280097182
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1302280097182
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1302280097182
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1302280097182
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1302280097192
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1302280097192
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1302280097192
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1302280097192
os,sysinfo,,,"win32",1302280097192
arch,sysinfo,,,"x86",1302280097192
ws,sysinfo,,,"win32",1302280097192
locale,sysinfo,,,"en_US",1302280097192
processors,sysinfo,,,"2",1302280097192
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1302280097192
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1302280097192
java.specification.name,sysinfo,,,"Java Platform API Specification",1302280097192
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302280097192
java.specification.version,sysinfo,,,"1.6",1302280097192
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302280097192
java.version,sysinfo,,,"1.6.0_24",1302280097192
java.vm.info,sysinfo,,,"mixed mode, sharing",1302280097192
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1302280097192
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302280097192
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302280097192
java.vm.specification.version,sysinfo,,,"1.0",1302280097192
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302280097192
java.vm.version,sysinfo,,,"19.1-b02",1302280097192
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1302280103542
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1302280103732
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1302280103732
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1302280103732
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1302280103732
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1302280103732
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1302280103732
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1302280103732
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1302280103732
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1302280103742
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1302280103742
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1302280103772
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1302280103772
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1302280103772
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1302280103772
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1302280103772
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1302280103772
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1302280103772
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1302280103772
